IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type, [lineItem/Operation],lineItem/LineItemDescription
Storage,Storage&Content Delivery,AWS Backup,Cold Storage,Early Delete,AWSBackup,%EarlyDelete-Cold%,,
Storage,Storage&Content Delivery,AWS Backup,Cold Storage,Restore,AWSBackup,%Restore-Cold%,,
Storage,Storage&Content Delivery,AWS Backup,Cold Storage,Storage,AWSBackup,%ColdStorage%,,
Storage,Storage&Content Delivery,AWS Backup,Warm Storage,Restore,AWSBackup,%Restore-Warm%,,
Storage,Storage&Content Delivery,AWS Backup,Warm Storage,Storage,AWSBackup,%WarmStorage%,,
Security,Security and Identity,AWS CloudHSM,Hardware Security Module,CloudHSM Usage,CloudHSM,%CloudHSM%,,
Networking,Networking,Amazon EC2,Load Balancer,Load Balancer Usage,AmazonEC2,%LoadBalancerUsage,,
Networking,Networking,Amazon EC2,Elastic IP,Idle Address,AmazonEC2,%ElasticIP:IdleAddress,,
Networking,Networking,Amazon EC2,Elastic IP,Remap,AmazonEC2,%ElasticIP:Remap,,
Database,Database,Amazon DAX,Cache,Node Usage,AmazonDAX,%NodeUsage%,,
Database,Database,Amazon DynamoDB,Provisioned Capacity,Write Capacity Unit-Hours,AmazonDynamoDB,%WriteCapacityUnit-Hrs,,
Database,Database,Amazon DynamoDB,Provisioned Capacity,Read Capacity Unit-Hours,AmazonDynamoDB,%ReadCapacityUnit-Hrs,,
Database,Database,Amazon DynamoDB,Backup/Restore,Restore Data Size,AmazonDynamoDB,%RestoreDataSize-Bytes,,
Database,Database,Amazon DynamoDB,Streams,Streams Requests,AmazonDynamoDB,%Streams-Requests,,
Database,Database,AWS Database Migration Service,Migration,Usage,AWSDatabaseMigrationSvc,%Usg:dms%,,
Database,Database,AWS Database Migration Service,Storage,GP2 Storage,AWSDatabaseMigrationSvc,%DMS:GP2-Storage,,
Database,Database,AWS Database Migration Service,Storage,Multi-AZ GP2 Storage,AWSDatabaseMigrationSvc,%DMS:Multi-AZ-GP2-Storage,,
Compute,Compute,Amazon EC2,Instance,On-Demand Instance Usage,AmazonEC2,%BoxUsage%,,
Compute,Compute,Amazon EC2,Dedicated Host,Dedicated Host Usage,AmazonEC2,%DedicatedUsage%,,
Compute,Compute,Amazon EC2,Host,Host Usage,AmazonEC2,%HostUsage%,,
Compute,Compute,Amazon EC2,GPU,Elastic GPU Usage,AmazonEC2,%EGpuUsage%,,
Compute,Compute,Amazon EC2,Data Processing,Data Processing Bytes,AmazonEC2,%DataProcessing-Bytes,,
Cloud Services,Application Services,Amazon EC2,Additional Costs,Tax,AmazonEC2,,,Tax%
Cloud Services,Management Tools,Amazon CloudWatch,Monitoring,Alarm Monitoring Usage,AmazonEC2,%CW:AlarmMonitorUsage,,
Cloud Services,Management Tools,Amazon CloudWatch,Monitoring,Metric Monitoring Usage,AmazonEC2,%CW:MetricMonitorUsage,,
Cloud Services,Management Tools,Amazon CloudWatch,Monitoring,Requests,AmazonEC2,%CW:Requests,,
Cloud Services,Application Services,Amazon DynamoDB,Additional Costs,Tax,AmazonDynamoDB,,,Tax%
Cloud Services,Application Services,AWS Database Migration Service,Additional Costs,Tax,AWSDatabaseMigrationSvc,,,Tax%
Cloud Services,Developer Tools,AWS Device Farm,Testing,Windows Chrome,AWSDeviceFarm,%Windows-Chrome%,,
Cloud Services,Developer Tools,AWS Device Farm,Testing,iOS Device,AWSDeviceFarm,%iOS-Device%,,
Cloud Services,Developer Tools,AWS Device Farm,Testing,iOS Remote Access,AWSDeviceFarm,%iOS-RA%,,
Cloud Services,Developer Tools,AWS Device Farm,Testing,Android Device,AWSDeviceFarm,%Android-Device%,,
Cloud Services,Developer Tools,AWS Device Farm,Testing,Android Remote Access,AWSDeviceFarm,%Android-RA%,,
Cloud Services,Internet of Things,IoT Device Management,Indexing,Indexed Data,IoTDeviceManagement,%IndexedData,,
Cloud Services,Mobile Services,APN Fee,Additional Costs,Tax,APNFee,,,Tax%
Cloud Services,Mobile Services,APN Fee,Fee,APN Fee,APNFee,,,
Cloud Services,Artificial Intelligence,Amazon Translate,Translation,Translate Text,translate,%TranslateText,,
Cloud Services,Artificial Intelligence,Amazon Transcribe,Audio Processing,Streaming Audio,transcribe,%StreamingAudio,%StreamingAudio,
Cloud Services,Artificial Intelligence,Amazon Transcribe,Audio Processing,Transcribe Audio,transcribe,%TranscribeAudio,TranscribeAudio,
Cloud Services,Developer Tools,AWS CodeBuild,CI/CD,CodeBuild Usage,CodeBuild,,,
Cloud Services,Artificial Intelligence,Amazon Comprehend,Natural Language Processing,Comprehend Usage,comprehend,,,
Cloud Services,Artificial Intelligence,Amazon Comprehend Medical,Medical NLP,Comprehend Medical Usage,comprehendmedical,,,
